Node,Type,Degree,Degree Centrality,Eigenvector Centrality
lzb1BrN,follower,1,0.001145475372279496,0.0006545518260260239
g483ymW,follower,1,0.001145475372279496,0.0006545518260260239
YZOABOp,follower,1,0.001145475372279496,0.0006545518260260239
jbOaOo4,follower,1,0.001145475372279496,0.0006545518260260239
d9MxK,follower,1,0.001145475372279496,0.0005844218144959252
1xaZX,follower,4,0.004581901489117984,0.004490460085513572
KK66l,follower,3,0.003436426116838488,0.0035318086981053712
44PQr,follower,1,0.001145475372279496,0.0005844218144959252
aWvp71,follower,1,0.001145475372279496,0.0005844218144959252
z8MQZ,follower,1,0.001145475372279496,0.0005844218144959252
mgVVr,follower,1,0.001145475372279496,0.0005844218144959252
wPxlBMj,follower,1,0.001145475372279496,0.0005844218144959252
Jb812,follower,1,0.001145475372279496,0.0005844218144959252
KbJqoYO,follower,1,0.001145475372279496,0.0005844218144959252
Wa912k6,follower,1,0.001145475372279496,0.0005844218144959252
xkErGJw,follower,1,0.001145475372279496,0.0005844218144959252
p70d5,follower,1,0.001145475372279496,0.0005844218144959252
n04g5,follower,1,0.001145475372279496,0.0005844218144959252
JZjvO40,follower,1,0.001145475372279496,0.0005844218144959252
NzMx6x,follower,1,0.001145475372279496,0.0005844218144959252
NozNQ,follower,1,0.001145475372279496,0.0005844218144959252
KKPzB69,follower,1,0.001145475372279496,0.0005844218144959252
w2Yl1,follower,1,0.001145475372279496,0.0005844218144959252
jvqxx2G,follower,1,0.001145475372279496,0.0005844218144959252
4AyEOWb,follower,1,0.001145475372279496,0.0005844218144959252
YYGR7Mv,follower,1,0.001145475372279496,0.0005844218144959252
Y4XdkJ,follower,1,0.001145475372279496,0.0005844218144959252
GdlYlG,follower,1,0.001145475372279496,0.0005844218144959252
g4OQdGk,follower,1,0.001145475372279496,0.0005844218144959252
oYGz6pg,follower,1,0.001145475372279496,0.0005844218144959252
AzA7W7,follower,1,0.001145475372279496,0.0005844218144959252
AxQQ5ow,follower,1,0.001145475372279496,0.0005844218144959252
aAm5jJw,follower,1,0.001145475372279496,0.0005844218144959252
Ma6kZpm,follower,1,0.001145475372279496,0.0005844218144959252
pzA5Vv0,follower,1,0.001145475372279496,0.0005844218144959252
oGN8qW7,follower,1,0.001145475372279496,0.0005844218144959252
d0qVk7M,follower,1,0.001145475372279496,0.0005844218144959252
pZ3511B,follower,1,0.001145475372279496,0.0005844218144959252
jN8aVR4,follower,1,0.001145475372279496,0.0005844218144959252
WxQZQAK,follower,1,0.001145475372279496,0.0005844218144959252
5jBQB3M,follower,1,0.001145475372279496,0.0005844218144959252
q5J56AM,follower,1,0.001145475372279496,0.0005844218144959252
b9w8J,follower,1,0.001145475372279496,0.002441084031585146
D9KOn,follower,1,0.001145475372279496,0.002441084031585146
nlGNe,follower,1,0.001145475372279496,0.002441084031585146
p1Rd0,follower,1,0.001145475372279496,0.002441084031585146
LMVGV,follower,1,0.001145475372279496,0.002441084031585146
6EVk9g3,follower,1,0.001145475372279496,0.002441084031585146
E2ja4,follower,1,0.001145475372279496,0.0033920602183499164
